ge,du
7316,9775
6872,2540
4899,2374
3172,2305
351,2137
4914,1935
1994,1758
4609,1685
3725,1683
6613,1641
7514,1205
7341,1178
8452,1171
10482,1133
4738,1055
7157,1050
4149,1009
1956,1004
4343,980
2885,963
1017,931
2099,888
4171,867
6612,857
4193,851
3320,837
2335,794
10987,793
7534,791
6045,718
3326,699
8454,677
1457,673
4223,670
22938,670
988,665
55832,664
51547,663
4869,655
10537,655
7412,650
3065,648
1874,648
2130,636
9820,636
23363,614
5566,603
26270,603
6714,601
7415,598
3312,583
375791,581
1869,573
11345,567
672,554
83987,547
3192,547
23710,544
2033,542
7189,541
3178,541
3309,533
207,519
7186,512
2100,511
84708,503
9531,498
11337,496
8350,493
6733,490
3676,487
7428,485
5934,485
8726,481
7329,480
6117,477
10971,476
2801,475
2932,469
6118,468
386682,467
120892,465
5430,465
3611,462
60,457
7532,457
5578,456
10075,454
1499,449
4188,442
84557,442
8517,441
4790,441
7531,439
983,438
8453,435
5594,432
2534,430
5970,429
3066,426
3428,424
5071,420
4088,419
1386,418
8065,415
1454,412
9463,409
1459,409
23291,409
7529,409
11140,407
801,406
5987,404
4087,400
5499,396
200728,396
4904,394
1398,393
7846,392
409,391
25,390
55611,390
6472,388
6119,386
648,385
8945,385
367,384
386681,382
1915,382
1432,379
125115,378
1387,376
9641,376
81631,375
3881,374
3315,374
5626,370
388677,370
29079,366
23411,365
23512,365
5595,365
7431,365
8450,365
8359,364
4627,364
3303,363
6657,363
10014,356
5347,353
2521,352
6780,350
6927,349
23281,349
23028,349
6134,348
3064,348
6774,348
9924,346
2316,345
57154,345
3106,343
5966,342
3014,341
3190,340
3609,340
6386,339
51741,337
9146,336
6790,335
203068,334
55093,334
7314,334
2146,330
5295,328
1026,328
3308,327
10980,327
5111,327
7874,326
7013,325
5460,324
1452,324
3329,322
5300,321
7185,320
5591,319
2547,317
4089,317
6789,316
5501,316
5315,315
7533,314
10492,312
1460,311
10155,310
26123,310
23435,310
1019,309
5925,309
8841,309
3175,308
2064,308
4163,306
166,306
1025,305
10381,305
4734,304
9775,303
6202,303
29978,303
5580,303
5599,302
6310,302
1020,300
867,299
8266,298
8826,297
8878,297
10273,296
57520,296
7205,296
3608,295
10856,294
5515,293
1213,293
6187,293
2810,292
10013,292
6925,292
9991,291
10524,291
2023,289
386675,289
6667,288
85451,287
6188,287
3304,286
8451,285
154,285
6732,285
4670,284
7321,283
5261,282
6464,282
580,282
7917,281
4691,280
142,280
408,280
1642,279
3198,279
84445,279
5518,277
3184,277
7203,276
55781,275
5684,274
708,272
7014,271
79867,271
7520,271
4067,270
145508,270
9212,269
10576,269
6189,269
5500,267
3396,267
8347,267
8607,266
4000,265
22976,264
6195,263
6606,263
4176,262
4690,261
11030,260
7277,260
5610,259
29979,259
6208,259
3885,259
5728,259
5108,257
24144,257
3313,257
11077,256
6128,255
8481,254
830,253
1080,253
6141,252
5829,252
23524,252
84656,251
5371,251
2353,251
11043,251
2597,250
5682,250
1660,250
5885,250
3837,249
1655,249
7283,248
11190,248
8655,247
10528,245
5058,244
23390,244
5708,243
7322,243
4174,242
7046,242
472,242
9349,241
51259,241
1639,240
23197,240
7132,240
6059,239
5879,239
1111,239
9759,239
6194,238
80321,238
7323,238
2091,238
117178,238
9657,237
6191,236
